host_description,Expected_Personal_Charisma,approach1_Personal_Charisma,approach1_Personal_Charisma_Precision,approach1_Personal_Charisma_Recall,approach1_Personal_Charisma_F1,approach2_Personal_Charisma,approach2_Personal_Charisma_Precision,approach2_Personal_Charisma_Recall,approach2_Personal_Charisma_F1,approach3_Personal_Charisma,approach3_Personal_Charisma_Precision,approach3_Personal_Charisma_Recall,approach3_Personal_Charisma_F1,Expected_Friendly_Attitudes,approach1_Friendly_Attitudes,approach1_Friendly_Attitudes_Precision,approach1_Friendly_Attitudes_Recall,approach1_Friendly_Attitudes_F1,approach2_Friendly_Attitudes,approach2_Friendly_Attitudes_Precision,approach2_Friendly_Attitudes_Recall,approach2_Friendly_Attitudes_F1,approach3_Friendly_Attitudes,approach3_Friendly_Attitudes_Precision,approach3_Friendly_Attitudes_Recall,approach3_Friendly_Attitudes_F1,Expected_Service_Assistance,approach1_Service_Assistance,approach1_Service_Assistance_Precision,approach1_Service_Assistance_Recall,approach1_Service_Assistance_F1,approach2_Service_Assistance,approach2_Service_Assistance_Precision,approach2_Service_Assistance_Recall,approach2_Service_Assistance_F1,approach3_Service_Assistance,approach3_Service_Assistance_Precision,approach3_Service_Assistance_Recall,approach3_Service_Assistance_F1,Expected_Socialisation_Sharing,approach1_Socialisation_Sharing,approach1_Socialisation_Sharing_Precision,approach1_Socialisation_Sharing_Recall,approach1_Socialisation_Sharing_F1,approach2_Socialisation_Sharing,approach2_Socialisation_Sharing_Precision,approach2_Socialisation_Sharing_Recall,approach2_Socialisation_Sharing_F1,approach3_Socialisation_Sharing,approach3_Socialisation_Sharing_Precision,approach3_Socialisation_Sharing_Recall,approach3_Socialisation_Sharing_F1
"I live in Brooklyn, NY. I am an experienced Super Host. My family and I live in the building so we are always willing to assist guests when needed. After 10 years of short-term hosting, we have transitioned into longer term stays (of a month or more). We take pride in making all our guests as comfortable as possible no matter how long they stay.  ","""experienced Super Host""","""I am an experienced Super Host"", ""My family and I live in the building so we are always willing to assist guests when needed""",0.09,0.67,0.15,None detected,0.00,0.00,0.00,"""I am an experienced Super Host"", ""take pride in making all our guests as comfortable as possible""",0.12,0.67,0.21,"""take pride in making all our guests as comfortable as possible""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""always willing to assist guests when needed""",None detected,0.00,0.00,0.00,"""We are always willing to assist guests when needed"", ""We take pride in making all our guests as comfortable as possible""",0.33,0.86,0.48,"""always willing to assist guests when needed""",1.00,1.00,1.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""I am from Peru of Croatian descent, live in New York City, and work for the United Nations. I like everything international, especially travel. I have had great experience renting people's spaces when travelling. I get the local knowledge as well as great comfort.","""from Peru of Croatian descent"", ""work for the United Nations"", ""like everything international, especially travel""","""I am from Peru of Croatian descent"", ""I like everything international, especially travel""",0.83,0.67,0.74,"""I am from Peru of Croatian descent, live in New York City, and work for the United Nations"", ""I like everything international, especially travel""",0.65,1.00,0.79,"""I am from Peru of Croatian descent"", ""like everything international, especially travel""",0.83,0.67,0.74,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a 32 year old male.  I work full time as a manager for a very prestigious company.  I enjoy spending time with my family and friends, I enjoy going to the movies, bowling, sports, and reading.  I love to travel, one of my most memorable trips was to Las Vegas last year.  As a host I will do everything in my ability to make you feel as comfortable as possible.  ","""manager for a very prestigious company"", ""love to travel"", ""memorable trip to Las Vegas"", ""enjoy movies, bowling, sports, and reading""","""I am a 32 year old male"", ""I enjoy spending time with my family and friends"", ""love to travel""",0.28,0.26,0.27,"""I am a 32 year old male"", ""I love to travel""",0.30,0.16,0.21,"""I am a 32 year old male"", ""enjoy spending time with my family and friends"", ""love to travel""",0.28,0.26,0.27,"""enjoy spending time with my family and friends""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""do everything in my ability to make you feel as comfortable as possible""",None detected,0.00,0.00,0.00,"""As a host I will do everything in my ability to make you feel as comfortable as possible""",0.75,1.00,0.86,"""will do everything in my ability to make you feel as comfortable as possible""",0.92,1.00,0.96,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Young professional and native New Yorker. I love to travel both domestically and internationally. I'm a relatively new host but enjoy meeting new people and sharing a bit of what I love about NYC, housing and sustainable design. I enjoy dancing salsa and finding new restaurants and bars in NYC.","""young professional"", ""native New Yorker"", ""love to travel"", ""enjoy dancing salsa"", ""finding new restaurants and bars""","""I'm a relatively new host"", ""enjoy meeting new people and sharing a bit of what I love about NYC""",0.24,0.27,0.25,"""I love to travel both domestically and internationally"", ""I enjoy dancing salsa and finding new restaurants and bars in NYC""",0.53,0.60,0.56,"""I love to travel both domestically and internationally"", ""enjoy meeting new people""",0.42,0.33,0.37,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""enjoy meeting new people"", ""sharing a bit of what I love about NYC, housing and sustainable design""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""enjoy sharing a bit of what I love about NYC, housing and sustainable design""",1.00,0.82,0.90
"I enjoy conversations with smart/funny/interesting/kind people. I value honesty, kindness and ambitions. I've lived in NYC for 4 years and loved every bit of it.","""value honesty, kindness and ambitions"", ""lived in NYC for 4 years and loved every bit of it""","""I enjoy conversations with smart/funny/interesting/kind people"", ""I've lived in NYC for 4 years and loved every bit of it""",0.63,0.75,0.69,"""I enjoy conversations with smart/funny/interesting/kind people"", ""I've lived in NYC for 4 years and loved every bit of it""",0.63,0.75,0.69,"""enjoy conversations with smart/funny/interesting/kind people"", ""value honesty, kindness and ambitions""",0.40,0.25,0.31,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""enjoy conversations with smart/funny/interesting/kind people""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am an artist, ecologist, and educator. I am the co-founder of Eco Practicum, which runs programs and events for ecological justice, and I teach food systems planning courses at Columbia University. My husband is an artist and educator, my 3 year old son is a little genius, and we like to keep our home clean and colorful. ","""artist, ecologist, and educator"", ""co-founder of Eco Practicum"", ""teach food systems planning at Columbia"", ""keep our home clean and colorful""","""I am an artist, ecologist, and educator"", ""I like to keep our home clean and colorful""",0.64,0.47,0.55,"""I am an artist, ecologist, and educator"", ""We like to keep our home clean and colorful""",0.60,0.47,0.53,"""I am an artist, ecologist, and educator"", ""like to keep our home clean and colorful""",0.64,0.47,0.55,"""my 3 year old son is a little genius""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"""I've been a fan of Airbnb for many years and I'm excited to finally be a host!

I'm a New York local and happy to share recommendations with you. Be sure to take a look at my guidebook.

In my free time, I garden, kite board, and play basketball.

Welcome to New York!""","""fan of Airbnb"", ""New York local"", ""garden, kite board, and play basketball""","""I'm a New York local"", ""In my free time, I garden, kite board, and play basketball""",0.56,0.75,0.64,None detected,0.00,0.00,0.00,"""I'm a New York local"", ""happy to share recommendations with you""",0.27,0.25,0.26,"""excited to finally be a host"", ""Welcome to New York!""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""happy to share recommendations"", ""take a look at my guidebook""",None detected,0.00,0.00,0.00,"""I'm a New York local and happy to share recommendations with you"", ""Welcome to New York!""",0.29,0.40,0.33,"""gardening, kite boarding, and playing basketball""",0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I was born and raised in Kingston Jamaica. Moved to the States in 2010. I have a degree in Art Education and I currently work in Sales. Traveling is my 2nd love - I've been to over 10 countries including ; Dominican Republic, Puerto Rico, Switzerland , Germany , Italy , France , England , Netherlands , Greece , Spain , Portugal , Morocco , Canada , Mexico . Asia up next.","""born and raised in Kingston Jamaica"", ""degree in Art Education"", ""work in Sales"", ""traveling is my 2nd love"", ""visited over 10 countries""","""I was born and raised in Kingston Jamaica"", ""I have a degree in Art Education and I currently work in Sales"", ""Traveling is my 2nd love""",0.67,0.70,0.68,"""I was born and raised in Kingston Jamaica"", ""Traveling is my 2nd love""",0.77,0.50,0.61,"""I was born and raised in Kingston Jamaica"", ""have a degree in Art Education"", ""traveling is my 2nd love""",0.72,0.65,0.68,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""I want you to know the beauty of being 5 minutes out of the city""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
"The entire world knows the Bronx as the home of the New York Yankees, the Bronx Zoo and the New York Botanical Garden not to mention as the birthplace of hip-hop. Im having such a great experience through Airbnb connecting me to people from all over the world. I want you to know the beauty of being 5 minutes out of the city. 

       StOp no need to keep searching for """"A Place"""" ,you've found """"The PLace"""" Cherry Hill . Book, you definitely  wont be disappointed . I'm a laid back brother to 7 sisters and 4 older brothers, raised around  laughter, boredom busters , the ability to see others perspective , and more helping hands then one man can wish for.
 I like to consider myself a simple man with a plan to spread some peace along his journey. Born and rasied in nyc as host its my pleasure to share the big Apple's beauty with the rest of the World. My favorite book is freakle juice and i have a big thing for kit-kats. ""","""laid back brother to 7 sisters and 4 older brothers"", ""raised around laughter and helping hands"", ""simple man with a plan"", ""born and raised in NYC"", ""favorite book is Freckle Juice"", ""big thing for Kit-Kats""","""I like to consider myself a simple man with a plan to spread some peace along his journey"", ""Born and raised in NYC as host its my pleasure to share the big Apple's beauty with the rest of the World""",0.29,0.31,0.30,"""I like to consider myself a simple man with a plan to spread some peace along his journey"", ""As host its my pleasure to share the big Apple's beauty with the rest of the World""",0.21,0.19,0.20,"""I like to consider myself a simple man with a plan to spread some peace along his journey"", ""born and raised in NYC""",0.43,0.28,0.34,"""great experience through Airbnb connecting me to people"", ""laughter"", ",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""want you to know the beauty of being 5 minutes out of the city"", ""you definitely won't be disappointed""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""want you to know the beauty of being 5 minutes out of the city""",0.92,0.69,0.79,"""connecting me to people from all over the world"", ""pleasure to share the big Apple's beauty with the rest of the World"", ""see others' perspective""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
I'm a brunch chef and live in the big apple but I love quiet weekend getaways. It's how I find balance. Not a big drinker and I don't smoke or use drugs. I'm super neat and clean and I hope to be in a home that's the same,"""brunch chef"", ""love quiet weekend getaways"", ""find balance"", ""super neat and clean""","""I'm a brunch chef"", ""It's how I find balance""",0.33,0.25,0.29,"""I'm a brunch chef"", ""It's how I find balance""",0.33,0.25,0.29,"""I'm a brunch chef"", ""love quiet weekend getaways"", ""super neat and clean""",0.83,0.83,0.83,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,"""I hope to be in a home that's the same""",0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"A likeable host who is more of a people person. Being in the hospitality business as concerns Airbnb, I see it imperative to serve all with a sense of respect and gratitude.","""likeable host"", ""people person""","""A likeable host who is more of a people person"", ""I see it imperative to serve all with a sense of respect and gratitude""",0.10,0.50,0.16,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""respect and gratitude""",None detected,0.00,0.00,0.00,"""Being in the hospitality business as concerns Airbnb, I see it imperative to serve all with a sense of respect and gratitude""",0.14,1.00,0.24,"""serve all with a sense of respect and gratitude""",0.33,1.00,0.50,"""hospitality business"", ""imperative to serve all""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I like meeting people from all walks of life and being an AirBnB Superhost allows me to do that. After retiring from a career in law enforcement with NYPD and other agencies, i enjoy being hospitable to guests that want to experience NYC and the Bronx in particular. ","""retiring from a career in law enforcement with NYPD and other agencies""","""After retiring from a career in law enforcement with NYPD and other agencies"", ""enjoy being hospitable to guests that want to experience NYC and the Bronx in particular""",0.44,0.92,0.59,"""After retiring from a career in law enforcement with NYPD and other agencies"", ""I enjoy being hospitable to guests that want to experience NYC and the Bronx in particular""",0.42,0.92,0.58,"""enjoy being hospitable to guests that want to experience NYC and the Bronx in particular""",0.14,0.17,0.15,"""enjoy being hospitable to guests""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""AirBnB Superhost allows me to do that""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""like meeting people from all walks of life"", ""want to experience NYC and the Bronx in particular""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Welcome guys! Its Greg.

Born and raised in the Upper West Side of Manhattan on Central Park West, I have witnessed the transitional phases from the ""Old"" New York to the ""New""  New York City. Glad to say I am an original and proud New Yorker with vast experience leading me to my career in film production. I have worked on many of the popular TV Shows and Films filmed in the Heart of New York City. My interest in travel and tourism have provided me with the experience of hosting and accommodating different people and cultures from all over the world.

Hoping to share with guests the same experiences I have on a daily basis even if its for a temporary stay!","""proud New Yorker"", ""career in film production"", ""worked on many popular TV shows and films"", ""interest in travel and tourism""","""Born and raised in the Upper West Side of Manhattan"", ""I have worked on many of the popular TV Shows and Films filmed in the Heart of New York City""",0.38,0.50,0.43,"""Born and raised in the Upper West Side of Manhattan on Central Park West"", ""My interest in travel and tourism have provided me with the experience of hosting and accommodating different people and cultures from all over the world""",0.19,0.33,0.24,"""Born and raised in the Upper West Side of Manhattan"", ""vast experience leading me to my career in film production""",0.21,0.22,0.22,"""welcome guys!"", ""glad to say""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""hosting and accommodating different people and cultures""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""hoping to share with guests the same experiences I have""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""experience of hosting and accommodating different people and cultures from all over the world""",0.08,0.10,0.09
"Day Habilitation Supervisor in the day, Music producer at night. I am a positive, laid back clean guy. I am Dominican so I am fluent in Spanish and Im very respectful. ","""Day Habilitation Supervisor"", ""Music producer"", ""positive"", ""laid back"", ""clean guy"", ""I am Dominican""","""Day Habilitation Supervisor in the day, Music producer at night"", ""I am Dominican so I am fluent in Spanish and Im very respectful""",0.30,0.46,0.36,"""Day Habilitation Supervisor in the day, Music producer at night"", ""I am a positive, laid back clean guy""",0.44,0.62,0.52,"""Day Habilitation Supervisor in the day, Music producer at night"", ""positive, laid back clean guy""",0.40,0.46,0.43,"""very respectful""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"We are a multinational family - Yulia was born and raised in Moscow, Russia; Amine was born and raised in Morocco, our dog - Pixel and our cat - Archie are native New Yorkers . We were very fortunate to find each other, fall in love and  create a family in one of the best cities in the world - New York City.  
We enjoy traveling, meeting new people and learn about new cultures. Having a background in hospitality inspired us to open the doors of our home for AirBnB travelers.
We are very serious about providing a fun, comfortable and enjoyable experience for all our guests. If you are friendly, tidy, communicative, respectful and comfortable being a ""Please and Thank You"" kind of guest then we very much look forward to welcoming you to our home.
","""multinational family"", ""fortunate to find each other and create a family"", ""enjoy traveling"", ""background in hospitality""","""Yulia was born and raised in Moscow, Russia; Amine was born and raised in Morocco"", ""We enjoy traveling, meeting new people and learn about new cultures""",0.21,0.27,0.24,"""We are a multinational family"", ""We enjoy traveling, meeting new people and learn about new cultures""",0.43,0.40,0.41,"""We are a multinational family"", ""very serious about providing a fun, comfortable and enjoyable experience for all our guests""",0.22,0.27,0.24,"""look forward to welcoming you to our home""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""providing a fun, comfortable and enjoyable experience"", ""open the doors of our home for Airbnb travelers""",None detected,0.00,0.00,0.00,"""We are very serious about providing a fun, comfortable and enjoyable experience for all our guests""",0.50,0.50,0.50,None detected,0.00,0.00,0.00,"""meeting new people"", ""learn about new cultures""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
An easy going gentlemen involved in the interior design industry.,"""easy going gentleman"", ""involved in the interior design industry""","""An easy going gentlemen involved in the interior design industry""",0.80,0.89,0.84,"""An easy going gentlemen involved in the interior design industry""",0.80,0.89,0.84,"""An easy going gentlemen involved in the interior design industry""",0.80,0.89,0.84,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Hello, I was formerly a philosophy and political science student with an interest in public service and policy. I currently manage a warehouse in Long Island City while I go back to school to earn an MBA in Healthcare Administration.

I coordinate with various renters in the area to share any extra space they might have to anyone that is interested in visiting, working, staying in the city, or even fellow New Yorkers that just need a place to relax while their relatives take up their own apartments.

I have had the privilege to have grown up, studied, and worked in and around New York City my entire life and thus, have intimate knowledge of this neighborhood and the Metropolitan area. I am quite fond of my hometown and would love the chance to share it with the rest of you!","""formerly a philosophy and political science student"", ""interest in public service"", ""manage a warehouse"", ""grew up, studied, and worked in NYC""","""I was formerly a philosophy and political science student"", ""I currently manage a warehouse in Long Island City"", ""I have had the privilege to have grown up, studied, and worked in and around New York City my entire life""",0.38,0.67,0.48,"""I was formerly a philosophy and political science student"", ""I have had the privilege to have grown up, studied, and worked in and around New York City my entire life""",0.42,0.61,0.50,"""I was formerly a philosophy and political science student"", ""have intimate knowledge of this neighborhood and the Metropolitan area""",0.39,0.39,0.39,"""fond of my hometown"", ""would love the chance to share it with the rest of you""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""coordinate with renters to share space"", ""help New Yorkers who need a place to relax""",None detected,0.00,0.00,0.00,"""I coordinate with various renters in the area to share any extra space they might have to anyone that is interested in visiting""",0.24,0.36,0.29,None detected,0.00,0.00,0.00,"""share it with the rest of you"", ""interested in visiting, working, staying in the city""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I am a 41 year old living in the insanely awesome city of New York, in the Astoria Queens neighborhood. I have been doing Airbnb for 9 years and love the people I have met and being able to share my community with them. I work in financial sales for a leading technology and news organization which allows me to travel quite a bit and have the luxury of staying in nice locations and eating well. I love to travel and have been to 83 countries and counting, most recently Croatia.

Hobbies: Traveling, Eating, seeing live music, working out, cooking, reading, spending time with my girlfriend, friends, family and my puppies.","""41-year-old living in New York"", ""work in financial sales for a leading technology and news organization"", ""been to 83 countries"", ""Hobbies: Traveling, Eating, seeing live music, working out, cooking, reading""","""I was born and raised in the suburbs in Minnesota"", ""I work in financial sales for a leading technology and news organization"", ""I love to travel and have been to 83 countries and counting""",0.54,0.48,0.51,"""I was born and raised in the suburbs in Minnesota"", ""I love to travel and have been to 83 countries and counting""",0.29,0.17,0.22,"""I was born and raised in the suburbs in Minnesota"", ""a musician"", ""enjoy renting out my space in New York to excited travelers""",0.24,0.17,0.20,"""love the people I have met"", ""spending time with my girlfriend, friends, family and my puppies""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""been doing Airbnb for 9 years""",None detected,0.00,0.00,0.00,"""I love the people I have met and being able to share my community with them""",0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""being able to share my community with them""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I was born and raised in the suburbs in Minnesota, went to university at Berklee College of Music in Boston, and then moved to New York in 2012. I'm a musician, and operate an online educational/inspiration website. Most of my life is spent making music, drumming, teaching, performing, and traveling. I love traveling and seeing new places. Luckily, as a drummer, I get to do this quite a bit (this is why I started with Airbnb). I've been finding I really enjoy renting out my space in New York to excited travelers. It excites me to be a small part of someone's experience in such an exciting city.","""born and raised in Minnesota"", ""Berklee College of Music"", ""musician"", ""educational/inspiration website"", ""making music, drumming, teaching, performing, and traveling"", ""love traveling""","""I was born and raised in the suburbs in Minnesota"", ""I work in financial sales for a leading technology and news organization"", ""I love to travel and have been to 83 countries and counting""",0.23,0.32,0.27,"""I'm a musician"", ""I've been finding I really enjoy renting out my space in New York to excited travelers""",0.11,0.11,0.11,"""I am a musician"", ""love traveling and seeing new places"", ""excites me to be a small part of someone's experience in such an exciting city""",0.25,0.32,0.28,"""enjoy renting out my space in New York to excited travelers"", ""excites me to be a small part of someone's experience""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""started with Airbnb"", ""sharing space with travelers"" (implied via context of excitement to host)",None detected,0.00,0.00,0.00,"""It excites me to be a small part of someone's experience in such an exciting city""",0.12,0.15,0.14,None detected,0.00,0.00,0.00
"I am a Spanish teacher also working on a PHD in Literature. I am from Spain and have lived in NY for 10 years. I travel every year or every two years to see my family or to explore other countries
I like herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music.
I have learned so much in this city, and I want to keep learning.
I love living in Astoria because it is a calm, lively, diverse, pleasant and conveniently located neighborhood with all kind of amenities:
Restaurants, cafes, supermarkets, health stores, cinemas, museums and parks.","""Spanish teacher working on a PhD in Literature"", ""travel every year or two"", ""herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music"", ""want to keep learning""","""I am a Spanish teacher also working on a PHD in Literature"", ""I like herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music""",0.76,0.62,0.68,"""I am a Spanish teacher also working on a PHD in Literature"", ""I like herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music""",0.76,0.62,0.68,"""I am a Spanish teacher"", ""like herbal medicine, yoga, Psychoanalysis, poetry, Jazz and classical music""",0.67,0.38,0.49,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""love living in Astoria because it is calm, lively, diverse pleasant and conveniently located neighborhood with all kind of amenities""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"I love everything travel related.. Also a big fan of hiking, learning new languages, meeting great people, and meditating!! ","""love everything travel related"", ""big fan of hiking"", ""learning new languages"", ""meditating""","""I love everything travel related"", ""Also a big fan of hiking, learning new languages, meeting great people, and meditating""",0.63,1.00,0.77,"""I love everything travel related"", ""Also a big fan of hiking, learning new languages, meeting great people, and meditating""",0.63,1.00,0.77,"""love everything travel related"", ""big fan of hiking, learning new languages, meeting great people, and meditating""",0.75,1.00,0.86,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""meeting great people""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"My wife and I recently moved to Long Island City and absolutely love it! Our place is full of natural light with incredible views. We love good food and coffee- everything you need to prepare a delicious meal is in the kitchen and there is a grocery store downstairs. We are one stop from Manhattan but there are plenty great restaurants in our local neighborhood. 
We travel a ton and have greatly enjoyed exploring new homes and places with fellow AirBnB hosts. We hope you love our place as much as we do!","""absolutely love it"", ""full of natural light with incredible views"", ""love good food and coffee"", ""travel a ton""","""My wife and I recently moved to Long Island City"", ""We love good food and coffee""",0.27,0.24,0.25,"""My wife and I recently moved to Long Island City and absolutely love it"", ""We love good food and coffee""",0.35,0.35,0.35,"""My wife and I recently moved to Long Island City"", ""love good food and coffee""",0.29,0.24,0.26,"""hope you love our place as much as we do""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""everything you need to prepare a delicious meal is in the kitchen"", ""grocery store downstairs""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""hope you love our place as much as we do""",0.11,0.07,0.08,"""greatly enjoyed exploring new homes and places with fellow AirBnB hosts""",None detected,0.00,0.00,0.00,"""We hope you love our place as much as we do!""",0.00,0.00,0.00,None detected,0.00,0.00,0.00
Solo traveler exploring the world. ,"""Solo traveler exploring the world""","""Solo traveler exploring the world""",1.00,1.00,1.00,"""Solo traveler exploring the world""",1.00,1.00,1.00,"""Solo traveler exploring the world""",1.00,1.00,1.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"Fun loving, family oriented young professional who loves to travel.","""Fun loving"", ""family oriented"", ""young professional"", ""loves to travel""","""Fun loving, family oriented young professional who loves to travel""",0.70,0.78,0.74,"""Fun loving, family oriented young professional who loves to travel""",0.70,0.78,0.74,"""Fun loving, family oriented young professional who loves to travel""",0.70,0.78,0.74,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00
"We live in Forest Hills, NYC and are truly inspired by the people we live around, where they originally come from and the energy that is in the neighborhood.  We love Minimal, Understated, Modern style. We love to absorb nature and be inspired by it's natural beauty. We are people person and love positive energy.

It's important for us to tell a story with our home. Something relatable to everyone that reminds you of home or a great memory.  ","""truly inspired by the people we live around"", ""love Minimal, Understated, Modern style"", ""love to absorb nature"", ""love positive energy""","""We live in Forest Hills, NYC"", ""We love Minimal, Understated, Modern style""",0.55,0.33,0.41,"""We live in Forest Hills, NYC and are truly inspired by the people we live around"", ""We love Minimal, Understated, Modern style""",0.63,0.67,0.65,"""We live in Forest Hills, NYC"", ""love Minimal, Understated, Modern style"", ""love to absorb nature and be inspired by its natural beauty""",0.52,0.61,0.56,"""people person""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""something relatable to everyone that reminds you of home or a great memory""",None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,None detected,0.00,0.00,0.00,"""important for us to tell a story with our home""",None detected,0.00,0.00,0.00,"""It's important for us to tell a story with our home""",0.91,1.00,0.95,None detected,0.00,0.00,0.00
